item_id,record_version,collection_batch,country,state_or_territory,jurisdiction_level,agency_name,agency_acronym,agency_unit,benefit_domain,program_name,program_acronym,communication_type,communication_channel,document_title,source_date,date_accessed,source_url,archived_url,source_status,source_language,target_language,language_code,translation_available,translation_method,translation_provider,translation_disclosure,human_review_status,reviewer_role,reviewer_qualification_documented,second_review_required,community_validation,correction_mechanism,translation_error_tracking,risk_level,risk_basis,vital_document_status,accuracy_status,completeness_status,currency_status,consistency_status,source_authority,actionability_status,semantic_fidelity,pragmatic_fidelity,institutional_fidelity,actionability,error_tags,reviewer_id,adjudication_status,ai_or_mt_used,system_name,system_role,human_in_the_loop,human_review_trigger,ai_use_disclosed_to_public,automated_translation_warning,finding_burden,navigation_burden,interpretation_burden,verification_burden,action_burden,burden_notes,provenance_status,capture_method,raw_file_path,checksum,rights_note,release_status,collector_id,collection_notes,uncertainty_flag,uncertainty_notes
US-MN-DHS-HEALTH-20260912-0001,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,Apply for Medical Assistance or MinnesotaCare,,2026-09-12,https://mn.gov/dhs/health-care/apply/,,live,English,,,true,not_applicable,,none,not_applicable,,,,,,,high,eligibility;documentation_requirement,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Official apply page; paper application available in Afaan Oromo among other languages.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0002,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,Printable application forms for health care programs,,2026-09-12,https://mn.gov/dhs/health-care/resources/forms/,,live,English,,,true,not_applicable,,none,not_applicable,,,,,,,high,eligibility;documentation_requirement,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Forms hub; main MNsure application listed in multiple languages; Oromo availability varies by form.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0003,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,People who are noncitizens,,2026-09-12,https://mn.gov/dhs/health-care/apply/noncitizens/,,live,English,,,true,not_applicable,,none,not_applicable,,,,,,,high,eligibility;immigration_consequence,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Noncitizen eligibility/application information; paper application available in Afaan Oromo.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0004,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,Renew my coverage,,2026-09-12,https://mn.gov/dhs/health-care/renew/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,renewal;deadline,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Annual renewal instructions and deadline-sensitive guidance.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0005,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance,,webpage,website,Medical Assistance and Medicare Savings Program automatic renewal,,2026-09-12,https://mn.gov/dhs/health-care/medical-assistance/medical-assistance-medicare-savings/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,renewal;documentation_requirement,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Automatic-renewal explanation; tells users when no action is needed and when a renewal form will be sent.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0006,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,Upload documents,,2026-09-12,https://mn.gov/dhs/renewmycoverage/next-steps/upload-documents/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,renewal;documentation_requirement;deadline,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Digital instructions for uploading renewal documents; explicitly mentions appeals and language interpretation pages among items not to upload.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0007,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,Medical Assistance;MinnesotaCare,,webpage,website,Medical Assistance and MinnesotaCare online application and DHS health care account access,,2026-09-12,https://mn.gov/dhs/online/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,eligibility;identity_verification;documentation_requirement,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Online application/account access; includes added identity-verification requirements for health-care access.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0008,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,MinnesotaCare,,webpage,website,MinnesotaCare,,2026-09-12,https://mn.gov/dhs/health-care/minnesotacare/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,eligibility;benefit_amount;renewal,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Program overview with eligibility, premiums, coverage, renewal, and change-reporting information.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0009,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,MinnesotaCare,,webpage,website,MinnesotaCare premiums,,2026-09-12,https://mn.gov/dhs/health-care/minnesotacare/premiums/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,benefit_amount;payment_instruction;deadline,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Premium amounts payment deadlines copays and payment methods.,low,Translation workflow and human-review process not inferred unless documented.
US-MN-DHS-HEALTH-20260912-0010,1.0,pilot01-medicaid-mn-v0.1,United States,Minnesota,state,Minnesota Department of Human Services,DHS,,health_coverage,MinnesotaCare,,webpage,website,After you apply for MinnesotaCare,,2026-09-12,https://mn.gov/dhs/health-care/minnesotacare/after-you-apply/,,live,English,,,,not_applicable,,none,not_applicable,,,,,,,high,eligibility;documentation_requirement;deadline,likely_vital,not_assessed,not_assessed,not_assessed,not_assessed,primary_official,not_assessed,,,,,,,not_required,unknown,,,unknown,,unknown,,,,,,,,official_source,manual_copy,,,Official State of Minnesota source; reuse/licensing status to be reviewed before public dataset release.,internal_only,research-team,Post-application workflow approval/nonqualification proof requests and premium steps.,low,Translation workflow and human-review process not inferred unless documented.
